Origin_clean,Asylum_clean,Value,origin_lon,origin_lat,asylum_lon,asylum_lat
Lesotho,South Africa,688000*00,28.170105295170494,-29.625290493692013,25.048013879861678,-28.947033259979115
Lesotho,United Kingdom,0000*00,28.170105295170494,-29.625290493692013,-2.8531353951805536,53.914773480537036
Lesotho,United States of America,*000500,28.170105295170494,-29.625290493692013,-112.59943591150451,45.70562800215179
Liberia,Algeria,0000*00,-9.41083615437112,6.431619862252995,2.5980477916183444,28.185481278657537
Liberia,Angola,47800015500,-9.41083615437112,6.431619862252995,17.47057255231345,-12.245869036133188
Liberia,Argentina,*0004500,-9.41083615437112,6.431619862252995,-65.17536077114173,-35.44682148949511
Liberia,Australia,240003500,-9.41083615437112,6.431619862252995,134.50277547536595,-25.730654779726077
Liberia,Austria,410001900,-9.41083615437112,6.431619862252995,14.076158884337072,47.6139487927463
Liberia,Belarus,0000*00,-9.41083615437112,6.431619862252995,27.98135261544802,53.50634479481113
Liberia,Belgium,80001500,-9.41083615437112,6.431619862252995,4.580834113854934,50.65244095902296
Liberia,Benin,*000000,-9.41083615437112,6.431619862252995,2.3373775534961565,9.647430780663704
Liberia,Brazil,900025900,-9.41083615437112,6.431619862252995,-53.05434003576711,-10.806773643498916
Liberia,Bulgaria,*000000,-9.41083615437112,6.431619862252995,25.19511095327711,42.7531187620217
Liberia,Cameroon,0000900,-9.41083615437112,6.431619862252995,12.61155154650177,5.663095287992695
Liberia,Canada,130008200,-9.41083615437112,6.431619862252995,-98.14238137209698,61.46907614534888
Liberia,Central African Rep.,0000*00,-9.41083615437112,6.431619862252995,20.374347291243915,6.5427787059213145
Liberia,Chad,0000*00,-9.41083615437112,6.431619862252995,18.581329525332883,15.328867399839657
Liberia,China,84000000,-9.41083615437112,6.431619862252995,103.88361230063248,36.555066531858685
Liberia,Colombia,0000*00,-9.41083615437112,6.431619862252995,-73.0777320869748,3.9272138627097055
Liberia,Congo,7000*00,-9.41083615437112,6.431619862252995,15.134461767413525,-0.8378010872252885
Liberia,Cyprus,0000*00,-9.41083615437112,6.431619862252995,33.03955380295407,34.90706085094344
Liberia,Czechia,0000*00,-9.41083615437112,6.431619862252995,15.334558102365815,49.775245294369
Liberia,Dem. Rep. Congo,19000600,-9.41083615437112,6.431619862252995,23.582955831479087,-2.8502757110956676
Liberia,Denmark,*000000,-9.41083615437112,6.431619862252995,9.876372937675002,56.06393446179454
Liberia,Egypt,10000000,-9.41083615437112,6.431619862252995,29.844461513124404,26.50661999974955
Liberia,Finland,*000*00,-9.41083615437112,6.431619862252995,26.21176461029636,64.50409403963653
Liberia,France,800022900,-9.41083615437112,6.431619862252995,-2.876696699270627,42.46070432663372
Liberia,Gabon,*000*00,-9.41083615437112,6.431619862252995,11.687751174902044,-0.6470481398040288
Liberia,Gambia,00006800,-9.41083615437112,6.431619862252995,-15.431872807730837,13.47533435870166
Liberia,Germany,2580006000,-9.41083615437112,6.431619862252995,10.288485092742851,51.13372269040778
Liberia,Ghana,6000135800,-9.41083615437112,6.431619862252995,-1.2369685557063992,7.928651813099647
Liberia,Greece,10000000,-9.41083615437112,6.431619862252995,22.719813447095056,39.066715899713955
